City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,kruisfontein,-34.0033,24.7314,9.38,72,75,8.91,ZA,1688859040
305,nueva palestina,15.8,-92.75,23.29,95,94,0.93,MX,1688859041
306,nikolayevsk-on-amure,53.1406,140.73,23.47,70,86,1.28,RU,1688859042
307,cudillero,43.5622,-6.1459,19.51,83,75,1.54,ES,1688858986
308,ulaangom,49.9811,92.0667,22.08,45,35,3.57,MN,1688859043
309,corner brook,48.9667,-57.9484,23.09,91,85,1.33,CA,1688859043
310,mejit,10.2753,170.8646,28.23,72,78,8.45,MH,1688859044
311,la mojonera,37.2923,-2.4373,23.25,55,49,1.27,ES,1688859044
312,shchyolkino,45.4291,35.8223,23.68,84,92,6.52,UA,1688859045
313,santiago de cao,-7.9589,-79.2392,23.07,83,4,4.63,PE,1688859045
314,afaahiti,-17.75,-149.2833,27.93,85,98,8.55,PF,1688858947
315,anxiang,29.4,112.15,27.62,86,99,3.72,CN,1688859047
316,kilkeel,54.062,-6.0031,13.0,85,84,2.0,GB,1688859047
317,santa terezinha,-29.9002,-50.0904,16.54,86,100,2.22,BR,1688859049
318,rawson,-43.3002,-65.1023,6.85,93,100,3.77,AR,1688859029
319,kenai,60.5544,-151.2583,13.41,75,100,4.12,US,1688858604
320,kadiri,14.1167,78.1667,24.03,71,100,6.38,IN,1688858629
321,calama,-22.4667,-68.9333,13.27,10,0,4.63,CL,1688859051
322,lorengau,-2.0226,147.2712,27.0,82,100,1.66,PG,1688858907
323,tari,12.4086,4.4914,25.97,69,100,7.91,NG,1688859052
324,anadyr,64.75,177.4833,11.28,76,40,3.0,RU,1688859053
325,holyhead,53.3062,-4.6321,16.0,82,100,4.12,GB,1688858963
326,fortuna,40.5982,-124.1573,19.96,71,100,5.14,US,1688859054
327,nova sintra,14.8667,-24.7167,22.55,89,98,6.61,CV,1688859054
328,tutoia,-2.7619,-42.2744,25.07,89,15,3.84,BR,1688859055
329,mugia,43.1041,-9.2179,16.06,82,38,4.38,ES,1688859056
330,escanaba,45.7453,-87.0646,18.17,94,100,3.09,US,1688858902
331,ati,13.2154,18.3353,25.71,73,97,7.37,TD,1688859057
332,ancud,-41.8697,-73.8203,8.56,86,100,10.56,CL,1688859057
333,maulavi bazar,24.4833,91.7833,25.65,94,100,1.42,BD,1688859058
334,aquidauana,-20.4711,-55.7872,26.57,42,90,0.97,BR,1688859058
335,prado,-17.3411,-39.2208,23.48,79,55,4.77,BR,1688858942
336,duartina,-22.4144,-49.4039,23.64,60,66,2.16,BR,1688859060
337,rexburg,43.826,-111.7897,29.44,20,0,0.0,US,1688858766
338,tsiombe,-25.3,45.4833,18.66,72,1,1.77,MG,1688859061
339,caleta de carquin,-11.0925,-77.6267,20.22,78,3,5.6,PE,1688859061
340,trincomalee,8.5711,81.2335,26.39,81,92,7.69,LK,1688859062
341,bouarfa,32.53,-1.95,30.35,13,27,6.74,MA,1688859062
342,san andres,12.5847,-81.7006,30.01,74,20,6.69,CO,1688859063
343,mokhsogollokh,61.4681,128.9203,15.19,41,27,5.59,RU,1688859063
